song_name,song_artist,track_id,weeks,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Real Shit (with benny blanco),Juice WRLD,3uVPLtkmDu8pDkYEAVqbgS,"['2020-12-04', '2020-12-11', '2020-12-18']","['chicago rap', 'melodic rap']",0.703,0.703,1,-4.672,1,0.133,0.605,0,0.12,0.697,76.017
WITHOUT YOU,The Kid LAROI,27OeeYzk6klgBh83TSvGMA,"['2020-12-04', '2020-12-11', '2020-12-18', '2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05', '2021-02-12', '2021-02-19', '2021-02-26']",['australian hip hop'],0.662,0.413,0,-7.357,1,0.0299,0.213,0,0.134,0.467,93.005
willow,Taylor Swift,0lx2cLdOt3piJbcaXIV74f,"['2020-12-11', '2020-12-18', '2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05', '2021-02-12', '2021-02-19', '2021-02-26']","['dance pop', 'pop', 'pop dance']",0.392,0.574,7,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112
כמה רקדנו,Benaia Barabi,4pKBg8YPAnVAS170fHD382,"['2020-12-11', '2020-12-18', '2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05', '2021-02-12', '2021-02-19', '2021-02-26']","['israeli mediterranean', 'israeli pop', 'mizrahi', 'persian pop']",0.419,0.339,7,-7.694,0,0.0366,0.784,1.56e-06,0.16,0.378,90.566
ראי איזה פלא,"Berry Sakharof, Dudu Tassa",3m5tIKzzySOv6pWUfqSQX9,['2020-12-11'],"['classic israeli pop', 'israeli rock']",0.487,0.738,0,-6.066,0,0.0369,0.0301,1.98e-05,0.0455,0.694,158.059
נשמה שלי,Idan Rafael Haviv,7606oAr5GqreqTOdIX3uGB,"['2020-12-11', '2020-12-18', '2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05', '2021-02-12', '2021-02-19', '2021-02-26']",['israeli singer-songwriter'],0.601,0.444,1,-9.058,0,0.0305,0.423,2.06e-06,0.0968,0.304,82.004
קרטאש,"Berry Sakharof, Dudu Tassa",4CNAklW33uFIikgU4XQUqg,['2020-12-11'],"['classic israeli pop', 'israeli rock']",0.476,0.729,7,-5.534,1,0.034,0.0717,0.0542,0.129,0.387,153.955
Reminds Me Of You,"Juice WRLD, The Kid LAROI",5YSHygGN9D0mID1NsVd5my,['2020-12-11'],['australian hip hop'],0.613,0.631,4,-6.965,1,0.12,0.0663,0,0.169,0.33,149.992
הכי קרוב שיש,"Berry Sakharof, Dudu Tassa",6k4Hw5ksINf0HsNpQSKa0o,['2020-12-11'],"['classic israeli pop', 'israeli rock']",0.653,0.504,7,-7.853,0,0.0319,0.104,3.19e-05,0.07,0.65,130.054
"no body, no crime (feat. HAIM)",Taylor Swift,3RaT22zZsxVYxxKR7TAaYF,['2020-12-11'],"['dance pop', 'pop', 'pop dance']",0.546,0.613,7,-7.589,0,0.0264,0.418,0,0.103,0.535,79.015
כל שנוצץ (בר סיכון לנפילה),"Berry Sakharof, Dudu Tassa",3X1Z9JOtGWe3mIFgzmiPNt,['2020-12-11'],"['classic israeli pop', 'israeli rock']",0.576,0.755,0,-5.859,1,0.0301,0.323,7.85e-06,0.284,0.293,121.958
באנו חושך לגרש,100 First Songs' Participants,6oOmpBInMQ3uOzgfRB4Z71,['2020-12-11'],[],0.676,0.36,0,-15.708,1,0.281,0.682,6.16e-06,0.0628,0.593,132.45
פרפר,"Atar Mayner, Dor3, Eden Derso",1bFSitBqVkOrZ5geYAHEKX,"['2020-12-11', '2020-12-18', '2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22']","['israeli hip hop', 'israeli trap']",0.625,0.732,2,-5.345,1,0.18,0.0126,0,0.352,0.198,160.118
champagne problems,Taylor Swift,0sY6ZUTh4yoctD8VIXz339,['2020-12-11'],"['dance pop', 'pop', 'pop dance']",0.462,0.24,0,-12.077,1,0.0377,0.92,0,0.113,0.32,171.319
Goosebumps,HVME,20McUFi8KCIVdNDLrkTDuZ,"['2020-12-11', '2020-12-18', '2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15']","['rap', 'slap house']",0.767,0.659,1,-7.429,1,0.0444,0.325,0,0.13,0.439,124.946
רוצה שלום,Raviv Kaner,4L4dPjtEVEpZ0ER2deHAJA,"['2020-12-18', '2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05', '2021-02-12', '2021-02-19', '2021-02-26']",['israeli pop'],0.727,0.431,2,-10.007,0,0.0937,0.173,2.84e-05,0.0813,0.157,94.95
Snowman,Sia,7uoFMmxln0GPXQ0AcCBXRq,"['2020-12-18', '2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05', '2021-02-12']","['australian dance', 'australian pop', 'dance pop', 'pop', 'pop dance']",0.716,0.512,1,-6.257,1,0.0331,0.483,0,0.0928,0.326,104.957
Gnat,Eminem,6cS9PmLky2NhLOhpIsUlow,['2020-12-18'],"['detroit hip hop', 'hip hop', 'rap']",0.835,0.869,10,-4.582,0,0.27,0.248,0,0.462,0.82,140.945
החזקתי לך ת'יד,Eden Meiri,54jMOKjqaFUnTjumDkDcmY,"['2020-12-18', '2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05', '2021-02-12', '2021-02-19', '2021-02-26']","['israeli mediterranean', 'israeli pop', 'mizrahi']",0.649,0.74,0,-6.732,1,0.0471,0.216,0,0.504,0.402,123.994
אני כבר מאושר,Moshiko Mor,6lQr6w64v9yLD3NffUX5VF,"['2020-12-18', '2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05', '2021-02-12', '2021-02-19']","['israeli mediterranean', 'mizrahi']",0.534,0.544,2,-8.484,0,0.0415,0.189,0,0.0886,0.429,163.905
The Business,Tiësto,6f3Slt0GbA2bPZlz0aIFXN,"['2020-12-18', '2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05', '2021-02-12', '2021-02-19', '2021-02-26']","['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']",0.798,0.62,8,-7.079,0,0.232,0.414,0.0192,0.112,0.235,120.031
להתעורר,Atar Mayner,3rLFTQq3qocyZ45DhQ7FBd,['2020-12-18'],"['israeli hip hop', 'israeli trap']",0.772,0.634,7,-6.128,1,0.0374,0.206,0.00182,0.162,0.149,92.006
Paradise (feat. Dermot Kennedy),MEDUZA,6ft4hAq6yde8jPZY2i5zLr,"['2020-12-18', '2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05', '2021-02-12', '2021-02-19', '2021-02-26']","['edm', 'pop dance', 'pop house', 'tropical house']",0.632,0.595,8,-7.644,0,0.0401,0.0689,0,0.209,0.435,124.114
Wild World,Yusuf / Cat Stevens,7mjSHL2Eb0kAwiKbvNNyD9,"['2020-12-18', '2020-12-25', '2021-01-01']","['british folk', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",0.48,0.542,0,-8.51,1,0.0348,0.345,0.000609,0.113,0.567,152.853
זמן לדיכאון,"Atar Mayner, Jasmin Moallem",4YbFRdxbiuzpEXNZMGgv7c,"['2020-12-18', '2020-12-25', '2021-01-01']","['israeli hip hop', 'israeli trap']",0.783,0.424,5,-6.565,0,0.0492,0.289,0,0.0887,0.361,118.058
תחזרי מהר,Osher Cohen,1SZHFu9wOj0tmtzQ5DO4pA,"['2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05', '2021-02-12', '2021-02-19', '2021-02-26']",['israeli mediterranean'],0.537,0.294,7,-11.122,0,0.0454,0.826,0,0.149,0.577,155.841
Afterglow,Ed Sheeran,0E4Y1XIbs8GrAT1YqVy6dq,"['2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05']","['pop', 'uk pop']",0.641,0.324,11,-5.851,1,0.0299,0.698,0,0.328,0.273,110.184
Counting Stars,OneRepublic,6sy3LkhNFjJWlaeSMNwQ62,"['2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05', '2021-02-12', '2021-02-19', '2021-02-26']","['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop dance', 'pop rock']",0.664,0.705,1,-4.972,0,0.0382,0.0654,0,0.115,0.477,122.017
Anyone,Justin Bieber,31qCy5ZaophVA81wtlwLc4,"['2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05', '2021-02-12', '2021-02-19', '2021-02-26']","['canadian pop', 'pop', 'post-teen pop']",0.686,0.538,2,-8.026,1,0.0345,0.181,3.13e-06,0.113,0.584,115.884
