song_name,song_artist,track_id,weeks,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Stay (Don't Go Away),"David Guetta, Raye",4YhN72dRYL2Z3MsaKyT7rS,"['7/4/2019', '7/11/2019']","['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'tropical house']",0.669,0.797,9,-5.68,0,0.0624,0.259,0,0.199,0.552,119.865
רודף אהבה בימים,עידן רפאל חביב,3J13LKZnpiYvcpV5kiKre0,"['7/11/2019', '7/18/2019', '7/25/2019', '8/1/2019', '8/8/2019', '8/15/2019', '8/22/2019']",['israeli singer-songwriter'],0.507,0.497,11,-8.92,0,0.0257,0.592,0.0732,0.112,0.253,95.002
A,WA - Hana Mash Hu Al Yaman,0bqwsQAkGaO0jzfzgI5iLV,['7/11/2019'],"['israeli indie', 'yemeni pop']",0.669,0.745,6,-7.679,0,0.118,0.051,0.00000398,0.107,0.439,100.963
Hola Senorita,"Maitre Gims, Maluma",5254Tvcl6Gtt9S9aWXBndd,"['7/11/2019', '7/18/2019', '7/25/2019', '8/1/2019', '8/8/2019', '8/15/2019', '8/22/2019']","['francoton', 'french hip hop', 'rap conscient']",0.726,0.801,0,-3.718,0,0.15,0.372,0,0.198,0.549,96.127
Hold Me While You Wait,Lewis Capaldi,60iSKGrGazRzICtMjADNSM,"['7/11/2019', '7/18/2019']","['pop', 'uk pop']",0.688,0.53,11,-5.507,1,0.0333,0.443,0,0.0995,0.162,106.958
כולם אותו דבר,"הראל סקעת, אושר בחתה",7fLJPZqKzpZC3Qis71mnvl,"['7/18/2019', '7/25/2019', '8/1/2019', '8/8/2019', '8/15/2019', '8/22/2019', '8/29/2019', '9/5/2019']",,0.457,0.552,3,-7.118,0,0.0584,0.175,0,0.217,0.515,193.842
נתראה בגלגול הבא,רביד פלוטניק,6FCWTPS5kNoXIV9fx0PgAQ,"['7/18/2019', '7/25/2019', '8/1/2019']",['israeli hip hop'],0.51,0.396,6,-13.945,0,0.0389,0.184,0.51,0.68,0.197,111.506
Senorita,"shawn mendes, camila cabello",0TK2YIli7K1leLovkQiNik,"['7/18/2019', '7/25/2019', '8/1/2019', '8/8/2019', '8/15/2019', '8/22/2019', '8/29/2019', '9/5/2019', '9/12/2019', '9/19/2019', '10/3/2019', '10/10/2019', '10/17/2019', '10/24/2019']","['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947
בננות,סטטיק ובן אל תבורי,1ZHP05MoeEAxBHBs2CC2hL,"['7/25/2019', '8/1/2019', '8/8/2019']","['israeli pop', 'jewish pop']",0.823,0.849,0,-4.829,1,0.0444,0.179,0.00000868,0.0599,0.698,124.01
chlorine,twenty one pilots,23OXdR7YuUBVWh5hSnYJau,"['7/25/2019', '8/1/2019', '8/8/2019', '8/15/2019']","['modern rock', 'rock']",0.609,0.674,10,-7.388,0,0.0548,0.0735,0.06,0.345,0.315,90.009
schhh,mahmut orhan,0Cv3w0j8YqO45I2Z4wwbzX,"['7/25/2019', '8/1/2019', '8/8/2019', '8/15/2019', '8/22/2019', '8/29/2019']",[],0.557,0.712,6,-5.32,0,0.0358,0.328,0.00000369,0.097,0.215,97.023
Nights,Dominic Fike,0ct6r3EGTcMLPtrXHDvVjc,"['7/25/2019', '8/1/2019', '8/8/2019']","['alternative pop rock', 'alternative r&b', 'pop']",0.527,0.835,6,-5.298,1,0.0433,0.0166,0,0.249,0.654,125.983
לך עם האמת שלך,עדן מאירי,6WoWEuJGRAYhcr25pc4Fhw,"['8/1/2019', '8/8/2019', '8/15/2019', '8/22/2019', '8/29/2019', '9/5/2019', '9/12/2019', '9/19/2019', '10/3/2019', '10/10/2019', '10/17/2019']","['israeli mediterranean', 'israeli pop', 'mizrahi']",0.605,0.589,4,-5.75,0,0.0324,0.153,0,0.261,0.26,127.947
echoes,lola marsh,4TlMFjPFreMOKKoWAjHARr,"['8/1/2019', '8/8/2019', '8/15/2019', '8/22/2019', '8/29/2019', '9/5/2019', '9/12/2019', '9/19/2019', '10/3/2019']","['israeli indie', 'new americana']",0.488,0.901,10,-4.08,0,0.0356,0.00196,0.681,0.126,0.623,141.992
goodbyes,"post malone, young thug",1mXVgsBdtIVeCLJnSnmtdV,"['8/1/2019', '8/8/2019', '8/15/2019', '8/22/2019', '8/29/2019', '9/5/2019', '9/12/2019']","['dfw rap', 'melodic rap', 'rap']",0.681,0.372,5,-8.237,1,0.0432,0.64,0,0.169,0.476,91.873
